kick_off,venue,team_1,team_2
14/06/2018 15:00,"Luzhniki Stadium, Moscow",Russia,Saudi Arabia
15/06/2018 12:00,Ekaterinburg Stadium,Egypt,Uruguay
15/06/2018 15:00,Saint Petersburg Stadium,Morocco,Iran
15/06/2018 18:00,"Fisht Stadium, Sochi",Portugal,Spain
16/06/2018 10:00,Kazan Arena,France,Australia
16/06/2018 13:00,"Otkrytiye Arena, Moscow",Argentina,Iceland
16/06/2018 16:00,Saransk Stadium,Peru,Denmark
16/06/2018 19:00,Kaliningrad Stadium,Croatia,Nigeria
17/06/2018 12:00,Samara Stadium,Costa Rica,Serbia
17/06/2018 15:00,"Luzhniki Stadium, Moscow",Germany,Mexico
17/06/2018 18:00,Rostov-on-Don Stadium,Brazil,Switzerland
18/06/2018 12:00,Nizhny Novgorod Stadium,Sweden,Korea Republic
18/06/2018 15:00,"Fisht Stadium, Sochi",Belgium,Panama
18/06/2018 18:00,Volgograd Stadium,Tunisia,England
19/06/2018 12:00,Saransk Stadium,Colombia,Japan
19/06/2018 15:00,"Otkrytiye Arena, Moscow",Poland,Senegal
19/06/2018 18:00,Saint Petersburg Stadium,Russia,Egypt
20/06/2018 12:00,"Luzhniki Stadium, Moscow",Portugal,Morocco
20/06/2018 15:00,Rostov-on-Don Stadium,Uruguay,Saudi Arabia
20/06/2018 18:00,Kazan Arena,Iran,Spain
21/06/2018 12:00,Samara Stadium,Denmark,Australia
21/06/2018 15:00,Ekaterinburg Stadium,France,Peru
21/06/2018 18:00,Nizhny Novgorod Stadium,Argentina,Croatia
22/06/2018 12:00,Saint Petersburg Stadium,Brazil,Costa Rica
22/06/2018 15:00,Volgograd Stadium,Nigeria,Iceland
22/06/2018 18:00,Kaliningrad Stadium,Serbia,Switzerland
23/06/2018 12:00,"Otkrytiye Arena, Moscow",Belgium,Tunisia
23/06/2018 15:00,Rostov-on-Don Stadium,Korea Republic,Mexico
23/06/2018 18:00,"Fisht Stadium, Sochi",Germany,Sweden
24/06/2018 12:00,Nizhny Novgorod Stadium,England,Panama
24/06/2018 15:00,Ekaterinburg Stadium,Japan,Senegal
24/06/2018 18:00,Kazan Arena,Poland,Colombia
25/06/2018 14:00,Samara Stadium,Uruguay,Russia
25/06/2018 14:00,Volgograd Stadium,Saudi Arabia,Egypt
25/06/2018 18:00,Saransk Stadium,Iran,Portugal
25/06/2018 18:00,Kaliningrad Stadium,Spain,Morocco
26/06/2018 14:00,"Luzhniki Stadium, Moscow",Denmark,France
26/06/2018 14:00,"Fisht Stadium, Sochi",Australia,Peru
26/06/2018 18:00,Saint Petersburg Stadium,Nigeria,Argentina
26/06/2018 18:00,Rostov-on-Don Stadium,Iceland,Croatia
27/06/2018 14:00,Ekaterinburg Stadium,Mexico,Sweden
27/06/2018 14:00,Kazan Arena,Korea Republic,Germany
27/06/2018 18:00,"Otkrytiye Arena, Moscow",Serbia,Brazil
27/06/2018 18:00,Nizhny Novgorod Stadium,Switzerland,Costa Rica
28/06/2018 14:00,Volgograd Stadium,Japan,Poland
28/06/2018 14:00,Samara Stadium,Senegal,Colombia
28/06/2018 18:00,Saransk Stadium,Panama,Tunisia
28/06/2018 18:00,Kaliningrad Stadium,England,Belgium
